School,City,State,County,Metro Area,Latitude,Longitude,Applications,Admitted,Acceptance Rate,Enrolled at UM,Yield,Enrollment,Mean SAT,Mean ACT,# of APs,IB Offered?,Population,Median Income,% Qualify for Reduced or Free Lunch,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,%Other/Multirace,Type,Notes,Check
Brooklyn Technical High School,Brooklyn,New York,Kings,New York,40.6887573,-73.976409,143,36,0.25,20,0.56,5934,1365,28.9,28,No,8336817,60762,0.59,0.24,0.06,0.07,0.60,0.01,0.01,0.01,Public Magnet,,1.00
Lane Technical High School,Chicago,Illinois,Cook,Chicago,41.9451737,-87.690724,141,42,0.30,17,0.40,4517,1280,23,35,No,2693976,55577,0.44,0.37,0.08,0.40,0.11,0.00,0.00,0.03,Public Magnet,,1.00
Detroit Country Day School,Beverly Hills,Michigan,Oakland,Detroit,42.512601,-83.264579,137,81,0.59,49,0.60,1480,1420,29.7,29,No,,,,0.77,0.04,0.04,0.09,0.00,0.00,0.06,Private Secular,Two Entries for Detroit Country Day in Database,1.00
Skyline High School,Ann Arbor,Michigan,Washtenaw,Ann Arbor,42.3056825,-83.780197,137,58,0.42,43,0.74,1451,1164,,20,No,119980,63956,0.21,0.59,0.15,0.06,0.10,0.00,0.00,0.10,Public,,1.00
Thomas Jefferson Hs Sci/Tec,Alexandria,Virginia,None,"Washington, D.C.",38.8388421,-77.111065,137,45,0.33,17,0.38,1781,1515,33.9,27,No,2231291,120603.2,0.02,0.21,0.02,0.02,0.70,0.00,0.00,0.05,Public Magnet,"Population and Income are for Arlington, Fairfax, Loudoun, and Prince William Counties, plus Falls Church",1.00
Grosse Pointe South Hs,Grosse Pointe,Michigan,Wayne,Detroit,42.39242,-82.903807,135,54,0.40,39,0.72,1542,1169,25.8,22,No,5154,108083,0.10,0.86,0.07,0.03,0.01,0.00,0.00,0.03,Public,,1.00
Non Michigan Home Schools,Ann Arbor,Michigan,,,0,0,132,21,0.16,8,0.38,,,,,,,,,,,,,,,,Private Secular,,0.00
Monta Vista High School,Cupertino,California,Santa Clara,San Jose,37.3136964,-122.05675,129,12,0.09,5,0.42,2274,1411,31,19,No,59276,163954,0.05,0.12,0.00,0.03,0.80,0.00,0.00,0.04,Public,,1.00
Seaholm High School,Birmingham,Michigan,Oakland,Detroit,42.539566,-83.243033,125,45,0.36,35,0.78,1309,1142,26,24,No,21389,117670,0.07,0.88,0.03,0.00,0.04,0.00,0.00,0.05,Public,,1.00
Okemos High School,Okemos,Michigan,Ingham,Lansing,42.6854268,-84.455099,125,43,0.34,31,0.72,1396,1155,,15,No,23912,78080,0.22,0.60,0.07,0.06,0.21,0.00,0.00,0.05,Public,,1.00
Whitney M Young Magnet Hs,Chicago,Illinois,Cook,Chicago,41.8781921,-87.663108,125,47,0.38,12,0.26,2208,1279,,33,No,2693976,80261,0.38,0.28,0.21,0.29,0.17,0.00,0.01,0.04,Public Magnet,Income for ZIP Code 60618,1.00
Palo Alto Senior High School,Palo Alto,California,Santa Clara,San Jose,37.4358242,-122.15533,123,33,0.27,12,0.36,2124,1331,28.2,23,No,65364,151720,0.08,0.45,0.02,0.12,0.33,0.00,0.01,0.06,Public,,1.00
Hinsdale Central High School,Hinsdale,Illinois,DuPage,Chicago,41.7876875,-87.933902,123,22,0.18,6,0.27,2728,1252,28,31,No,17637,188684,0.06,0.69,0.02,0.07,0.19,0.00,0.00,0.03,Public,,1.00
Scarsdale High School,Scarsdale,New York,Westchester,New York,40.9945302,-73.793268,121,28,0.23,12,0.43,1530,1381,31,16,No,17871,250001,0.00,0.68,0.01,0.08,0.17,0.00,0.00,0.06,Public,,1.00
Henry M Gunn High School,Palo Alto,California,Santa Clara,San Jose,37.4024239,-122.13394,119,26,0.22,6,0.23,2006,1377,28.9,26,No,65364,151720,0.07,0.37,0.01,0.09,0.44,0.00,0.01,0.08,Public,,1.00
Dougherty Valley High School,San Ramon,California,Contra Costa,San Francisco,37.7694191,-121.90371,119,11,0.09,1,0.09,3331,1321,29.2,24,No,75995,151026,0.07,0.12,0.03,0.05,0.75,0.00,0.00,0.05,Public,,1.00
Cass Technical High School,Detroit,Michigan,Wayne,Detroit,42.3385621,-83.06104,117,45,0.38,33,0.73,2393,1005.2,,3,Yes,670031,29481,0.71,0.02,0.80,0.08,0.10,0.00,0.00,0.00,Public,,1.00
Canyon Crest Academy,San Diego,California,San Diego,San Diego,32.9582439,-117.18901,114,24,0.21,11,0.46,2572,1395,28.2,26,No,48940,127968,0.06,0.54,0.01,0.08,0.34,0.00,0.00,0.04,Public,SAT and ACT scores listed are means; Income and Population are for ZIP Code 92130,1.00
Evanston Township High School,Evanston,Illinois,Cook,Chicago,42.0462443,-87.702181,113,27,0.24,8,0.30,3514,1079,,34,No,73473,77848,0.36,0.46,0.27,0.18,0.06,0.00,0.00,0.02,Public,,1.00
Wylie E Groves High School,Beverly Hills,Michigan,Oakland,Detroit,42.5178899,-83.244425,110,46,0.42,37,0.80,1251,1140,25.7,22,No,10352,116107,0.13,0.68,0.23,0.00,0.02,0.01,0.00,0.05,Public,,1.00
Lake Orion High School,Lake Orion,Michigan,Oakland,Detroit,42.7548486,-83.232985,110,27,0.25,13,0.48,2326,1060,,20,No,3131,79861,0.20,0.82,0.03,0.08,0.03,0.00,0.00,0.04,Public,,1.00
Neuqua Valley High School,Naperville,Illinois,Will,Chicago,41.7074337,-88.197339,110,11,0.10,3,0.27,3565,1220,27.4,25,No,148449,118187,0.09,0.55,0.06,0.07,0.29,0.00,0.00,0.04,Public,,1.00
West Bloomfield High School,West Bloomfield,Michigan,Oakland,Detroit,42.5676861,-83.359939,108,49,0.45,39,0.80,1812,1047,,25,No,65610,100139,0.32,0.47,0.37,0.04,0.08,0.00,0.00,0.04,Public,,1.00
Walt Whitman High School,Bethesda,Maryland,Montgomery,"Washington, D.C.",38.981763,-77.126891,107,17,0.16,8,0.47,2098,1322,29,31,No,62448,159431,0.02,0.69,0.04,0.08,0.14,0.00,0.00,0.06,Public,,1.00
Canton High School,Canton,Michigan,Wayne,Detroit,42.1661253,-71.148504,106,26,0.25,19,0.73,1976,1135,,21,Yes,93704,89991,0.19,0.67,0.09,0.05,0.16,0.00,0.00,0.03,Public,,1.00
Stoney Creek High School,Rochester Hills,Michigan,Oakland,Detroit,42.6995267,-83.121924,103,46,0.45,33,0.72,1599,1162,25.9,21,No,74516,90961,0.11,0.83,0.02,0.06,0.06,0.00,0.00,0.03,Public,,1.00
Salem High School,Canton,Michigan,Wayne,Detroit,42.3497285,-83.495617,102,36,0.35,32,0.89,2016,1136,,21,Yes,93704,89991,0.17,0.65,0.09,0.04,0.17,0.00,0.00,0.04,Public,,1.00
Oak Park & River Forest Hs,Oak Park,Illinois,Cook,Chicago,41.8900346,-87.788889,102,23,0.23,10,0.43,3399,1135,,25,No,52381,91945,0.16,0.56,0.20,0.12,0.04,0.00,0.00,0.09,Public,,1.00
Winston Churchill High School,Livonia,Michigan,Wayne,Detroit,42.3542309,-83.410379,102,27,0.26,7,0.26,1396,1095,,13,No,93665,76819,0.31,0.70,0.15,0.05,0.06,0.00,0.00,0.03,Public,,1.00
Winston Churchill High School,Potomac,Maryland,Montgomery,"Washington, D.C.",39.0433602,-77.173705,102,27,0.26,7,0.26,2227,1317,29,31,No,45824,188104,0.04,0.49,0.09,0.08,0.29,0.00,0.00,0.05,Public,,1.00
Harvard-Westlake School,Los Angeles,California,Los Angeles,Los Angeles,34.0892965,-118.43498,102,32,0.31,5,0.16,1602,1447,33,28,No,,,,0.54,0.07,0.08,0.21,0.01,0.00,0.08,Private Secular,Percentages are for Grades 7-12,1.00
